day,hour,10,11,12,13,14,15,16,17,18,19,20,21,3,4,5,6,7,8,9,LearnLobeL2,MPH
14,6,45,66,49,168,54,80,130,69,56,129,51,40,24,62,60,48,26,116,71,2,22
