day,level,hour,staff
14,1,6,10
14,10,6,261
14,11,6,62
14,12,6,65
14,13,6,34
14,14,6,116
14,15,6,40
14,16,6,41
14,17,6,78
14,2,6,27
14,3,6,74
14,4,6,40
14,5,6,64
14,6,6,91
14,7,6,124
14,8,6,53
14,9,6,43
14,B1,6,6
14,DH,6,83
