day,level,hour,staff
14,10,6,36
14,11,6,59
14,12,6,35
14,13,6,150
14,14,6,45
14,15,6,72
14,16,6,113
14,17,6,49
14,18,6,49
14,19,6,120
14,20,6,40
14,21,6,32
14,3,6,18
14,4,6,49
14,5,6,49
14,6,6,39
14,7,6,19
14,8,6,104
14,9,6,59
14,LearnLobeL2,6,0
14,MPH,6,14
