day,hour,10,11,12,13,14,15,16,17,18,19,20,21,3,4,5,6,7,8,9,LearnLobeL2,MPH
14,6,36,59,35,150,45,72,113,49,49,120,40,32,18,49,49,39,19,104,59,0,14
