clientMac,group,uniquePlaces,totalTime,size
4de8ac2372e20600049a92e471bad4120a03c6417acff3f5641d5cb0,dorm-start-end (busride),6,2351,57
4ed43e9ce216563132ce17c007383af0f31238073a6b66cc1426c103,dorm-start-end (busride),9,2363,57
4f3cb7021f97ee098757037ec7a4ac407578f30c3b36fb2bb2880267,others (busride),1,2395,58
5177291f1b6b29ed30e1e77fe88ecb0597da7e15046767adc65d3028,others (busride),4,2399,58
531de479a11181e6a106ce8022d819c37f27a086903fa33108f72659,others (busride),7,2400,58
55736728092fd52871ba39ec2184c2fc27829e4cc1da8be9568e16aa,others (moving),2,2413,58
5614b3c01e37cb8ca2c4dde1b6b2bf3cc8975fadc1b6d7c70b0cdbb2,others (busride),3,2416,58
56627ac99ee30d326372b5881206362165a82397b262289aa9bae285,dorm-start (moving),5,2420,58
57989953dde3e91d90a8f271fdc5350d6d61ff9d4263b9934dbe1eeb,dorm-start-end (busride),5,2422,58
59c99e81f407cc20cfc77420c2cfe6230443a26a1f33519ac47bab0d,others (busride),2,2424,58
5a812985ec7ec0e5134cb8b32f6f08aa86bee8eeb61c0d6788480f11,dorm-start-end (busride),8,2424,58
5ce1cecc26175858b173cd95662e7c20287757edb4ed468214f5609b,dorm-end (busride),9,2430,59
5cf1988bcdf0e2b6d341891d7471eb558dd46a99b896b23ac5ea1c8f,dorm-start-end (busride),11,2442,59
5d17212523954d6d3519f99744b827ede483288ed940eba3a1379752,others (busride),13,2445,59
5d3088d9f4b21331e6ee2b8836a58ff9391923fea92b5fcb0504ef89,dorm-start-end (busride),11,2455,59
60af7eb7f4b5799707e42010bf4e83574554600a469e8f213dbc5432,others (busride),1,2455,59
612576e46e8fd713571c549cfaeea041a735bddbe06d2d500de184d9,others (busride),2,2458,59
6298e459a36167b7732c8cec9a463ad8c152d2b08c8d5e48463db6d3,dorm-end (busride),5,2471,60
635659a9d1fb113e75b839f2e7b8cbf667c199359321871060a2e8f2,others (busride),1,2475,60
653c2071a76d9756e878415bb97bc27cdf72280c66787f844959fd7e,others (busride),1,2482,60
6564e0681171108bc9d067737045f79e93aa70b5d70ad1adfe11c855,others (busride),8,2483,60
66a91aa5b4c9b5f654fa6d89e8e6cd0ca75aadbaa4b81c771d26a2a7,dorm-start-end (busride),9,2484,60
670d43b56f22a6ccd6061c0b5acf9e6b0478628b76b2403dc5801460,others (busride),1,2485,60
68a8805d221cd5c0a4823237373d0aa34f070f6cda000144c1c5ec3d,others (busride),2,2486,60
690e33efc92f117ce51e8292c8f7a6aa8567941dd70ae2dc7a61ef83,dorm-start-end (busride),22,2486,60
6957c2a1f81a53960a8caa153466e282f3f1592452023130d23e3d22,others (busride),1,2494,60
6ac03d39ac9d0c59ac2af2ab1d1168054c0a7e7f5ab5412380ce1940,others (busride),3,2504,60
6c2a263fcaf1521aac1f89b4a4a1d52cf471c8b4af63d048a1529950,dorm-start-end (busride),3,2506,60
6ded1012d54f2f7d94a9e0781c8d349dab06a64189d70767d38c4e22,dorm-end (busride),16,2508,61
6f0968d2132e9531de9b93ad86bb85db81d4b5abdc5c1485bd82f6a3,others (busride),2,2517,61
749ac4ead0bbae89ea6012bb13caf59bdcf7564e892cbd34367546c5,others (moving),1,2517,61
756705dcf49389d0d64ee5b5582258521ebe629038eb3f269fbe6d13,others (busride),5,2519,61
75cb87b103235ab7ccb4681afc8a858bd464724f4da3c8c9e5aed12c,dorm-start (busride),14,2520,61
76990d97b76b5068529d60f052a5160fd4017c452ed3ac875fd5b2eb,others (busride),3,2524,61
76ec5ee5a04eb8d40d9bf86b5f86e93068f0c69af7c80d706720c968,dorm-start (busride),18,2537,61
78013989f2b06bd30ce82594d5465e652db9a0ba87421f44f0f4e056,others (moving),3,2547,61
782be1de7046c597f33c7bdd5d05604b3d3f51081c834c5fd02a5f7a,others (moving),2,2548,61
7c9d9c7e4c3c1890377613c659b0502f815c9e86375ae2a2f63a6833,others (busride),3,2548,61
7cbe32da6a8a48580119bbe01168dae027ca4fedb4abf9636ad9cc2d,dorm-end (busride),7,2556,62
7eb748e40ac08e8144e24843068202187ed911b4cbed53af4142bab6,dorm-end (busride),10,2562,62
7f5382909397f6c5583745b025561830f03ffd889f3fb0e687084da6,dorm-end (moving),4,2566,62
80905ebaea8b6f3282f284755e8b46d52571120f100628e9c4f6f567,others (busride),1,2568,62
815b328e710e168db1fc39464137d6fc372d593bd57deee4537256c1,dorm-end (busride),11,2571,62
829c5379c6a58a3df44a089df1e79893545f801fa380771acfbcb32a,others (busride),1,2582,62
8353edda3147facc0d9223db484e466d47d16b88231cad3928a7688c,dorm-start (moving),8,2587,62
8674464532666919af51e62dafe7bfe113530053d27619d48bacd26a,dorm-start-end (busride),4,2597,63
86c1308a4fb483a2f5f997185771b7af4f3743ab98bd79b994d61aa3,others (busride),1,2598,63
873531f44f097a702d80eb24f97f6f837c66f0bbf833951bfef99596,dorm-end (busride),2,2608,63
8955505674b343549cb77949f3d802f913bc1fbf208b4ae91fe3ea0a,others (busride),5,2634,64
