day,level,hour,visitors
14,1,6,9.0
14,10,6,28.0
14,11,6,27.0
14,12,6,188.0
14,13,6,145.0
14,14,6,32.0
14,15,6,18.0
14,16,6,22.0
14,17,6,32.0
14,18,6,41.0
14,19,6,34.0
14,2,6,99.0
14,20,6,20.0
14,21,6,30.0
14,22,6,13.0
14,23,6,18.0
14,24,6,24.0
14,25,6,11.0
14,3,6,91.0
14,4,6,45.0
14,5,6,63.0
14,6,6,52.0
14,7,6,73.0
14,8,6,15.0
14,9,6,27.0
