day,level,hour,visitors
14,1,6,10.0
14,10,6,40.0
14,11,6,24.0
14,12,6,12.0
14,2,6,25.0
14,3,6,25.0
14,4,6,26.0
14,5,6,41.0
14,6,6,24.0
14,7,6,65.0
14,8,6,30.0
14,9,6,28.0
