day,level,hour,visitors
14,DiningHall,6,6.0
14,FlexThemRM,6,0.0
14,MPR1,6,4.0
14,MPR2,6,2.0
14,MasterLounge,6,0.0
14,SeminarRM1,6,0.0
14,SeminarRM3,6,1.0
