day,level,hour,unique devices
14,1,6,13
14,10,6,293
14,11,6,73
14,12,6,74
14,13,6,47
14,14,6,122
14,15,6,51
14,16,6,50
14,17,6,87
14,2,6,35
14,3,6,85
14,4,6,51
14,5,6,70
14,6,6,102
14,7,6,139
14,8,6,67
14,9,6,57
14,B1,6,7
14,DH,6,102
