day,hour,1,10,11,12,13,14,15,16,17,18,19,20,21,3,4,5,6,7,8,9,LearnLobeL1,MPH
14,6,7,9,9,13,15,7,11,12,27,22,27,9,8,1,11,11,20,6,13,9,0,2
