day,hour,1,10,11,12,13,14,15,16,17,18,19,20,21,3,4,5,6,7,8,9,LearnLobeL1,MPH
14,6,176,208,70,156,312,34,72,45,61,109,104,74,29,8,59,61,52,56,43,29,1,1
