day,hour,1,10,11,12,13,14,15,16,17,18,19,20,21,3,4,5,6,7,8,9,LearnLobeL1,MPH
14,6,183,217,79,169,327,41,83,57,88,131,131,83,37,9,70,72,72,62,56,38,1,3
