day,level,hour,visitors
14,10,6,9.0
14,11,6,7.0
14,12,6,14.0
14,13,6,18.0
14,14,6,9.0
14,15,6,8.0
14,16,6,17.0
14,17,6,20.0
14,18,6,7.0
14,19,6,9.0
14,20,6,11.0
14,21,6,8.0
14,3,6,6.0
14,4,6,13.0
14,5,6,11.0
14,6,6,9.0
14,7,6,7.0
14,8,6,12.0
14,9,6,12.0
14,LearnLobeL2,6,2.0
14,MPH,6,8.0
