day,hour,10,11,12,13,14,15,16,17,18,19,20,21,3,4,5,6,7,8,9,LearnLobeL2,MPH
14,6,9,7,14,18,9,8,17,20,7,9,11,8,6,13,11,9,7,12,12,2,8
